## MODIFIED FILES AND VERDICTS

| File Path | Status | Verdict | Backup Features | Active Features |
| `[locale]\(app)\admin\mail-settings\page.tsx` | ADDED_IN_B | NEW WORK (Added in active branch, not in backup) |  |  |
| `[locale]\(app)\admin\restaurant-profile\ProfileFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations | animations |
| `[locale]\(app)\admin\roles\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations | animations |
| `[locale]\(app)\communications\email-outbox\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS |  |  |
| `[locale]\(app)\communications\notifications\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS |  |  |
| `[locale]\(app)\communications\notifications\settings\NotificationSettingsClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations | animations |
| `[locale]\(app)\communications\notifications\templates\[id]\TemplateEditorClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, glassmorphism, rbac_check | snakeCase_properties, animations, glassmorphism, rbac_check |
| `[locale]\(app)\inventory\expired-override\ExpiredOverrideClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\(app)\inventory\lots\LotBalanceClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\(app)\inventory\transfers\hub\TransferHubClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\(app)\master-data\barcodes\BarcodeFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, scan_mode | snakeCase_properties, animations, scan_mode |
| `[locale]\(app)\master-data\barcodes\mapping\BarcodeMappingClient.tsx` | MODIFIED | BACKUP HAS EXCLUSIVE FEATURES: ['camelCase_properties'] | camelCase_properties, snakeCase_properties, animations, glassmorphism | snakeCase_properties, animations, glassmorphism |
| `[locale]\(app)\master-data\branches\BranchListClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, rbac_check | snakeCase_properties, animations, rbac_check |
| `[locale]\(app)\master-data\categories\CategoryFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, rbac_check | snakeCase_properties, animations, rbac_check |
| `[locale]\(app)\master-data\currencies\CurrencyFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations | snakeCase_properties, animations |
| `[locale]\(app)\master-data\currencies\[id]\fx-rates\FXRatesClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations | snakeCase_properties, animations |
| `[locale]\(app)\master-data\items\ItemFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | camelCase_properties, snakeCase_properties, animations, scan_mode, rbac_check | camelCase_properties, snakeCase_properties, animations, scan_mode, rbac_check |
| `[locale]\(app)\master-data\suppliers\SupplierFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, rbac_check | snakeCase_properties, animations, rbac_check |
| `[locale]\(app)\master-data\warehouses\WarehouseFormClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, rbac_check | snakeCase_properties, animations, rbac_check |
| `[locale]\(app)\master-data\warehouses\WarehouseListClient.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | snakeCase_properties, animations, rbac_check | snakeCase_properties, animations, rbac_check |
| `[locale]\(auth)\forgot-password\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\(auth)\login\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\(auth)\reset-password\page.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `[locale]\layout.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS |  |  |
| `[locale]\not-found.tsx` | MODIFIED | MINOR TEXT/STYLE DIFFS | animations, glassmorphism | animations, glassmorphism |
| `globals.css` | MODIFIED | ACTIVE CODE HAS EXCLUSIVE FEATURES: ['audit_logging'] | animations | animations, audit_logging |
